Device,tps,kB_read/s,kB_wrtn/s,kB_dscd/s,kB_read,kB_wrtn,kB_dscd
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,2.00,0.00,44.00,0.00,0,44,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,7.00,0.00,36.00,0.00,0,36,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0
sda,0.00,0.00,0.00,0.00,0,0,0



